ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Default shop
53;1;Volume Sprint Mascara One Size Black;10;7.5;;;;;;;;dm_53;;Deborah Milano;Deborah Milano;8009518059205;;;;;;2.7;10;;;;;;"Lash volumizing and sculpting mascara
Formulated with special Volumecils polymer to ensure lusciously full lashes
Ophthalmologist tested";"Lash volumizing and sculpting mascara
Formulated with special Volumecils polymer to ensure lusciously full lashes
Ophthalmologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/fc7d4ef6-5-volume_sprint_mascara.jpg;;;;;;;;;;;;;Sale
54;1;Volume Sprint Mascara- Lash Curling Wand One Size Black;10;7.5;;;;;;;;dm_54;;Deborah Milano;Deborah Milano;8009518053487;;;;;;2.7;10;;;;;;"The rich creamy consistency nbsp formulated for
outstanding lash coverage
Lashes are coated with a supple longlasting film that
feels soft and flexible
With its unique texture several coats can be applied without fear of clumping smudging or flaking
The wand nbsp specially designed to deliver the ideal amount of mascara to separate and shape lashes while instantly creating the appearance of enhanced volume
With a special lash curling applicator wand
Fragrancefree to minimise the risk of irritation";"The rich creamy consistency nbsp formulated for
outstanding lash coverage
Lashes are coated with a supple longlasting film that
feels soft and flexible
With its unique texture several coats can be applied without fear of clumping smudging or flaking
The wand nbsp specially designed to deliver the ideal amount of mascara to separate and shape lashes while instantly creating the appearance of enhanced volume
With a special lash curling applicator wand
Fragrancefree to minimise the risk of irritation";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/4701c733-b-48440204-f-volume-sprint-masca.jpg;;;;;;;;;;;;;Sale
56;1;Ultraliner Eyeliner One Size Black;10;8.9;;;;;;;;dm_56;;Deborah Milano;Deborah Milano;8009518141580;;;;;;0.8;10;;;;;;"Highdefinition liquid eyeliner The felt
nib nbsp more comfortable and easier to
use than ever before the results are perfect
Hypoallergenic";"Highdefinition liquid eyeliner The felt
nib nbsp more comfortable and easier to
use than ever before the results are perfect
Hypoallergenic";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/ce4350e2-2-ultraliner-eyeliner.jpg;;;;;;;;;;;;;Sale
57;1;Eyeliner Precisione One Size Black;10;7.9;;;;;;;;dm_57;;Deborah Milano;Deborah Milano;8009518141511;;;;;;1.2;10;;;;;;"Brush eyeliner The special applicator ensures a flawless line The innovative formulation contains emollient and decongestant properties
Hypoallergenic";"Brush eyeliner The special applicator ensures a flawless line The innovative formulation contains emollient and decongestant properties
Hypoallergenic";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/90f7aff9-4-eyeliner-precisione-waterproof.jpg;;;;;;;;;;;;;Sale
59;1;Eyeliner Precisione One Size Black Waterproof;10;7.9;;;;;;;;dm_59;;Deborah Milano;Deborah Milano;8009518113013;;;;;;1.2;10;;;;;;"Brush eyeliner The special applicator ensures a flawless line The innovative formulation contains emollient and decongestant properties
Hypoallergenic";"Brush eyeliner The special applicator ensures a flawless line The innovative formulation contains emollient and decongestant properties
Hypoallergenic";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/90f7aff9-4-eyeliner-precisione-waterproof.jpg;;;;;;;;;;;;;Sale
60;1;Eyeliner Eye Pencil One Size 1;10;2.45;;;;;;;;dm_60;;Deborah Milano;Deborah Milano;8009518032802;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
62;1;Eyeliner Eye Pencil One Size 27;10;2.45;;;;;;;;dm_62;;Deborah Milano;Deborah Milano;8009518032833;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
63;1;Eyeliner Eye Pencil One Size 35;10;2.45;;;;;;;;dm_63;;Deborah Milano;Deborah Milano;8009518032840;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
64;1;Eyeliner Eye Pencil One Size 39;10;2.45;;;;;;;;dm_64;;Deborah Milano;Deborah Milano;8009518034523;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
65;1;Eyeliner Eye Pencil One Size 43;10;2.45;;;;;;;;dm_65;;Deborah Milano;Deborah Milano;8009518035698;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
66;1;Eyeliner Eye Pencil One Size 52;10;2.45;;;;;;;;dm_66;;Deborah Milano;Deborah Milano;8009518037517;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
67;1;Eyeliner Eye Pencil One Size 53;10;2.45;;;;;;;;dm_67;;Deborah Milano;Deborah Milano;8009518039276;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
68;1;Eyeliner Eye Pencil One Size 65;10;2.45;;;;;;;;dm_68;;Deborah Milano;Deborah Milano;8009518102956;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
70;1;Eyeliner Eye Pencil One Size 66;10;2.45;;;;;;;;dm_70;;Deborah Milano;Deborah Milano;5052172999977;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
71;1;Eyeliner Eye Pencil One Size 69;10;2.45;;;;;;;;dm_71;;Deborah Milano;Deborah Milano;8009518102994;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
72;1;Eyeliner Eye Pencil One Size 70;10;2.45;;;;;;;;dm_72;;Deborah Milano;Deborah Milano;8009518112245;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
73;1;Eyeliner Eye Pencil One Size 71;10;2.45;;;;;;;;dm_73;;Deborah Milano;Deborah Milano;8009518112252;;;;;;0.4;10;;;;;;"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";"A soft pencil that glides on and leaves a clear sharp line Fantastic staying power
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/12c16ca1-0-eyeliner-pencil.jpg;;;;;;;;;;;;;Sale
74;1;Kajal Eye Pencil One Size 104;10;2.9;;;;;;;;dm_74;;Deborah Milano;Deborah Milano;5052172999960;;;;;;0.4;10;;;;;;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/555a4c13-e-kajal-pencil.jpg;;;;;;;;;;;;;Sale
75;1;Kajal Eye Pencil One Size 112;10;2.9;;;;;;;;dm_75;;Deborah Milano;Deborah Milano;5052172999953;;;;;;0.4;10;;;;;;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/555a4c13-e-kajal-pencil.jpg;;;;;;;;;;;;;Sale
76;1;Kajal Eye Pencil One Size 117;10;2.9;;;;;;;;dm_76;;Deborah Milano;Deborah Milano;8009518036718;;;;;;0.4;10;;;;;;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/555a4c13-e-kajal-pencil.jpg;;;;;;;;;;;;;Sale
77;1;Kajal Eye Pencil One Size 118;10;2.9;;;;;;;;dm_77;;Deborah Milano;Deborah Milano;5052172999946;;;;;;0.4;10;;;;;;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/555a4c13-e-kajal-pencil.jpg;;;;;;;;;;;;;Sale
