ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
1;1;Makeup;;;;;;;;
2;1;Face;1;;;;;;;
3;1;Primers;2;;;;;;;
4;1;Foundations;2;;;;;;;
5;1;Highlighters & Shimmers;2;;;;;;;
6;1;Powders;2;;;;;;;
7;1;Blushes;2;;;;;;;
8;1;Concealers;2;;;;;;;
9;1;Makeup removers;2;;;;;;;
10;1;Eyes;1;;;;;;;
11;1;Eyeliners & Pencils;10;;;;;;;
12;1;Mascaras;10;;;;;;;
13;1;Eyeshadows;10;;;;;;;
14;1;Eye Primers;10;;;;;;;
15;1;Brow;10;;;;;;;
16;1;Lips;1;;;;;;;
17;1;Lipsticks;16;;;;;;;
18;1;Lip Glosses;16;;;;;;;
19;1;Lip Liners & Pencils;16;;;;;;;
20;1;Lip care;16;;;;;;;
21;1;Primers;1;;;;;;;
22;1;Makeup Removers;1;;;;;;;
23;1;Brushes, Sponges & Tools;1;;;;;;;
42;1;Nails;1;;;;;;;
43;1;Nail Enamel;42;;;;;;;
44;1;Nail Theraphy;42;;;;;;;
24;1;Skin Care;;;;;;;;
25;1;Face;24;;;;;;;
26;1;Anti-ageing cream ;25;;;;;;;
27;1;Eye care;25;;;;;;;
28;1;Serum;25;;;;;;;
29;1;Moisturisers;25;;;;;;;
30;1;Masks;25;;;;;;;
31;1;Cleansers & Toners;25;;;;;;;
32;1;Body;24;;;;;;;
33;1;Moisturisers ;32;;;;;;;
34;1;Anti-Ageing Creams;32;;;;;;;
35;1;Hands;32;;;;;;;
36;1;Legs & Feet;32;;;;;;;
37;1;Suncare;32;;;;;;;
38;1;Hair;1;;;;;;;
39;1;Shampoo;38;;;;;;;
40;1;Conditioner ;38;;;;;;;
41;1;Masks & Lotions;38;;;;;;;
45;1;Men;1;;;;;;;
46;1;Anti-Ageing Creams;45;;;;;;;
47;1;Moisturisers ;45;;;;;;;
48;1;Cleansing & Purifying;45;;;;;;;
49;1;Shaving;45;;;;;;;
50;1;After Shave;45;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
