id_category;Active (0/1);Name;Parent category;Description;Meta title;Meta description;Meta keywords;Friendly URL
3;1;Face;2;;;;;
4;1;Moisturiser;3;;;;;
5;1;Anti-aging;3;;;;;
6;1;Serum;3;;;;;
7;1;Eyecare;3;;;;;
8;1;Cleanser & Face Wash;3;;;;;
9;1;Face Masks;3;;;;;
10;1;Body;2;;;;;
11;1;Lotion;10;;;;;
12;1;Oil;10;;;;;
13;1;Body Butter;10;;;;;
14;1;Cellulite;10;;;;;
15;1;Hands;10;;;;;
16;1;Bath & Shower;2;;;;;
17;1;Haircare;2;;;;;
18;1;Suncare;2;;;;;
19;1;Gifts;2;;;;;
